block_idx,correct_rejection,false_alarm,hit,is_correct,is_target,letter,miss,mode,n_level,participant,responded,rt,run_type,session,timestamp,trial_idx
0,1,0,0,1,0,H,0,pc,0-back,dcdc,0,-1,base,01,15:43:50.456934,0
0,0,0,1,1,1,X,0,pc,0-back,dcdc,1,0.6686,base,01,15:43:52.994537,1
