block_idx,correct_rejection,design_id,design_name,false_alarm,hit,is_correct,is_target,isi_duration,letter,miss,mode,n_level,n_level_label,n_trials_in_block,participant,responded,rest_duration,rt,run_type,session,stim_duration,stim_onset,task_time,trial_idx,trigger_time,wall_timestamp,zero_back_target
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,123.2295,128.2289,23,2026-03-18_12:40:26.103193,12:42:34.331959,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,129.2294,134.2299,24,2026-03-18_12:40:26.103193,12:42:40.332875,T
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,157.2297,162.2301,0,2026-03-18_12:40:26.103193,12:43:08.333146,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,163.2296,167.2302,1,2026-03-18_12:40:26.103193,12:43:13.333219,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,P,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,168.2298,173.23,2,2026-03-18_12:40:26.103193,12:43:19.332987,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,174.2295,178.2297,3,2026-03-18_12:40:26.103193,12:43:24.332753,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,P,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,179.2293,183.23,4,2026-03-18_12:40:26.103193,12:43:29.333010,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,184.2298,189.2293,5,2026-03-18_12:40:26.103193,12:43:35.332338,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,190.23,194.2296,6,2026-03-18_12:40:26.103193,12:43:40.332647,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,K,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,195.2294,199.2301,7,2026-03-18_12:40:26.103193,12:43:45.333087,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,200.2296,204.23,8,2026-03-18_12:40:26.103193,12:43:50.333044,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,D,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,205.23,209.2298,9,2026-03-18_12:40:26.103193,12:43:55.332813,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,C,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,210.2295,215.2301,10,2026-03-18_12:40:26.103193,12:44:01.333096,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,D,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,216.2296,221.23,11,2026-03-18_12:40:26.103193,12:44:07.333069,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,K,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,222.2296,227.2299,12,2026-03-18_12:40:26.103193,12:44:13.332902,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,D,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,228.2293,233.23,13,2026-03-18_12:40:26.103193,12:44:19.332973,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,234.2293,238.2301,14,2026-03-18_12:40:26.103193,12:44:24.333127,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,D,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,239.2296,244.23,15,2026-03-18_12:40:26.103193,12:44:30.333018,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,J,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,245.2295,249.23,16,2026-03-18_12:40:26.103193,12:44:35.333061,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,D,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,250.2295,254.23,17,2026-03-18_12:40:26.103193,12:44:40.333029,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,C,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,255.2296,259.2306,18,2026-03-18_12:40:26.103193,12:44:45.333629,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,R,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,260.2293,264.2299,19,2026-03-18_12:40:26.103193,12:44:50.332916,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,C,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,265.2295,269.23,20,2026-03-18_12:40:26.103193,12:44:55.333001,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,R,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,270.2296,275.2298,21,2026-03-18_12:40:26.103193,12:45:01.332869,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,L,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,276.2295,280.2301,22,2026-03-18_12:40:26.103193,12:45:06.333073,
