block_idx,correct_rejection,design_id,design_name,false_alarm,hit,is_correct,is_target,isi_duration,letter,miss,mode,n_level,n_level_label,n_trials_in_block,participant,responded,rest_duration,rt,run_type,session,stim_duration,stim_onset,task_time,trial_idx,trigger_time,wall_timestamp,zero_back_target
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,0,0-back,25,vds,0,12.0,-1,base,01,0.5,79.3072,81.8406,24,2026-03-17_17:11:39.067225,17:13:00.907679,R
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,H,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,99.9437,102.4754,0,2026-03-17_17:11:39.067225,17:13:21.542419,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,102.492,105.0252,1,2026-03-17_17:11:39.067225,17:13:24.092272,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,G,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,105.0425,107.5589,2,2026-03-17_17:11:39.067225,17:13:26.625950,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,Z,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,107.5764,110.1091,3,2026-03-17_17:11:39.067225,17:13:29.176207,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,G,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,110.1273,112.6592,4,2026-03-17_17:11:39.067225,17:13:31.726299,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,112.6781,115.2094,5,2026-03-17_17:11:39.067225,17:13:34.276477,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,H,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,115.2262,117.7597,6,2026-03-17_17:11:39.067225,17:13:36.826744,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,R,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,117.7783,120.3098,7,2026-03-17_17:11:39.067225,17:13:39.376900,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,B,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,120.3284,122.86,8,2026-03-17_17:11:39.067225,17:13:41.927053,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,R,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,122.878,125.4101,9,2026-03-17_17:11:39.067225,17:13:44.477168,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,S,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,125.4283,127.9602,10,2026-03-17_17:11:39.067225,17:13:47.027228,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,T,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,127.977,130.5105,11,2026-03-17_17:11:39.067225,17:13:49.577559,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,S,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,130.5291,133.0608,12,2026-03-17_17:11:39.067225,17:13:52.127822,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,133.079,135.6107,13,2026-03-17_17:11:39.067225,17:13:54.677757,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,135.6304,138.1777,14,2026-03-17_17:11:39.067225,17:13:57.244731,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,L,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,138.1956,140.7278,15,2026-03-17_17:11:39.067225,17:13:59.794813,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,140.7463,143.278,16,2026-03-17_17:11:39.067225,17:14:02.345045,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,G,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,143.2974,145.8281,17,2026-03-17_17:11:39.067225,17:14:04.895192,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,K,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,145.8454,148.3769,18,2026-03-17_17:11:39.067225,17:14:07.443938,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,G,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,148.3936,150.9111,19,2026-03-17_17:11:39.067225,17:14:09.978121,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,150.9283,153.4607,20,2026-03-17_17:11:39.067225,17:14:12.527802,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,G,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,153.4781,156.0274,21,2026-03-17_17:11:39.067225,17:14:15.094434,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,P,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,156.0441,158.5609,22,2026-03-17_17:11:39.067225,17:14:17.627943,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,G,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,158.5776,161.1114,23,2026-03-17_17:11:39.067225,17:14:20.178408,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,161.1282,163.6461,24,2026-03-17_17:11:39.067225,17:14:22.713133,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,181.7463,184.2792,0,2026-03-17_17:11:39.067225,17:14:43.346273,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,T,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,184.2959,186.8295,1,2026-03-17_17:11:39.067225,17:14:45.896591,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,G,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,186.8463,189.3796,2,2026-03-17_17:11:39.067225,17:14:48.446682,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,L,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,189.3963,191.9135,3,2026-03-17_17:11:39.067225,17:14:50.980520,
